iter	Passed	Remaining
0	1	386
1	2	346
2	3	340
3	4	334
4	6	356
5	7	347
6	8	338
7	9	334
8	10	341
9	11	333
10	12	332
11	13	327
12	14	325
13	16	333
14	17	328
15	18	321
16	18	315
17	19	311
18	20	309
19	21	306
20	22	301
21	23	298
22	24	295
23	25	292
24	26	293
25	27	293
26	28	291
27	29	289
28	30	287
29	31	286
30	32	283
31	33	281
32	34	279
33	35	276
34	36	275
35	37	274
36	38	272
37	39	270
38	40	269
39	41	268
40	42	267
41	43	267
42	44	264
43	45	262
44	46	260
45	46	258
46	47	256
47	48	254
48	49	253
49	50	251
50	51	250
51	52	249
52	53	249
53	54	248
54	55	247
55	56	247
56	57	246
57	58	245
58	60	245
59	61	244
60	62	243
61	63	242
62	64	240
63	65	240
64	65	238
65	66	237
66	67	235
67	68	233
68	69	232
69	70	230
70	71	229
71	71	227
72	72	226
73	73	224
74	74	223
75	75	221
76	76	220
77	76	218
78	77	217
79	78	215
80	79	214
81	80	212
82	80	211
83	81	209
84	82	208
85	83	207
86	84	205
87	84	204
88	85	202
89	86	201
90	87	200
91	88	199
92	89	198
93	90	197
94	91	196
95	91	195
96	92	193
97	93	192
98	94	191
99	95	190
100	95	188
101	96	187
102	97	186
103	98	184
104	98	183
105	99	182
106	100	181
107	101	180
108	102	178
109	102	177
110	103	176
111	104	175
112	105	174
113	106	173
114	106	171
115	107	170
116	108	169
117	109	168
118	109	167
119	110	166
120	111	164
121	112	163
122	113	162
123	113	161
124	114	160
125	115	159
126	116	158
127	116	157
128	117	156
129	118	155
130	119	153
131	120	152
132	120	151
133	121	150
134	122	149
135	123	148
136	124	147
137	124	146
138	125	145
139	126	144
140	127	143
141	127	142
142	128	141
143	129	140
144	130	139
145	131	138
146	132	137
147	133	136
148	133	135
149	134	134
150	135	133
151	136	132
152	137	131
153	137	130
154	138	129
155	139	128
156	140	127
157	141	126
158	141	125
159	142	124
160	143	123
161	144	123
162	145	122
163	146	121
164	146	120
165	147	119
166	148	118
167	149	117
168	150	116
169	150	115
170	151	114
171	152	113
172	153	112
173	154	111
174	155	110
175	155	109
176	156	108
177	157	107
178	158	106
179	159	106
180	159	105
181	160	104
182	161	103
183	162	102
184	163	101
185	163	100
186	164	99
187	165	98
188	166	97
189	167	96
190	167	95
191	168	94
192	169	93
193	170	93
194	171	92
195	171	91
196	172	90
197	173	89
198	174	88
199	175	87
200	176	86
201	176	85
202	177	84
203	178	84
204	179	83
205	180	82
206	180	81
207	181	80
208	182	79
209	183	78
210	184	77
211	184	76
212	185	75
213	186	74
214	187	74
215	187	73
216	188	72
217	189	71
218	190	70
219	191	69
220	191	68
221	192	67
222	193	66
223	194	65
224	195	65
225	196	64
226	196	63
227	197	62
228	198	61
229	199	60
230	200	59
231	200	58
232	201	58
233	202	57
234	203	56
235	204	55
236	205	54
237	206	53
238	207	52
239	207	51
240	208	51
241	209	50
242	210	49
243	211	48
244	212	47
245	212	46
246	213	45
247	214	44
248	215	44
249	215	43
250	216	42
251	217	41
252	218	40
253	219	39
254	220	38
255	221	38
256	222	37
257	222	36
258	223	35
259	224	34
260	225	33
261	225	32
262	226	31
263	227	31
264	228	30
265	228	29
266	229	28
267	230	27
268	231	26
269	232	25
270	233	24
271	234	24
272	234	23
273	235	22
274	236	21
275	237	20
276	237	19
277	238	18
278	239	18
279	240	17
280	241	16
281	241	15
282	242	14
283	243	13
284	244	12
285	245	12
286	246	11
287	246	10
288	247	9
289	248	8
290	249	7
291	249	6
292	250	5
293	251	5
294	252	4
295	253	3
296	253	2
297	254	1
298	255	0
299	256	0
